"Periodo(MMM, AAAA)";"Tasa de desempleo - total nacional";"Tasa de ocupación - total nacional";"Archivo"
"2001/01/31";16,62;57,58;"Mercado laboral y población"
"2001/02/28";17,43;56,93;"Mercado laboral y población"
"2001/03/31";15,81;57,57;"Mercado laboral y población"
"2001/04/30";14,52;55,76;"Mercado laboral y población"
"2001/05/31";14,04;56,23;"Mercado laboral y población"
"2001/06/30";15,31;56,18;"Mercado laboral y población"
"2001/07/31";15,18;56,61;"Mercado laboral y población"
"2001/08/31";14,91;57,38;"Mercado laboral y población"
"2001/09/30";14,07;58,69;"Mercado laboral y población"
"2001/10/31";14,52;58,56;"Mercado laboral y población"
"2001/11/30";13,68;60,15;"Mercado laboral y población"
"2001/12/31";13,61;59,44;"Mercado laboral y población"
"2002/01/31";17,91;56,12;"Mercado laboral y población"
"2002/02/28";16,19;57,17;"Mercado laboral y población"
"2002/03/31";15,11;57,01;"Mercado laboral y población"
"2002/04/30";16,08;57,81;"Mercado laboral y población"
"2002/05/31";15,02;56,68;"Mercado laboral y población"
"2002/06/30";15,91;55,97;"Mercado laboral y población"
"2002/07/31";15,43;57,02;"Mercado laboral y población"
"2002/08/31";15,95;55,93;"Mercado laboral y población"
"2002/09/30";14,47;57,02;"Mercado laboral y población"
"2002/10/31";14,97;58,34;"Mercado laboral y población"
"2002/11/30";15,19;58,02;"Mercado laboral y población"
"2002/12/31";15,42;56,67;"Mercado laboral y población"
"2003/01/31";16,27;56,43;"Mercado laboral y población"
"2003/02/28";15,84;57,08;"Mercado laboral y población"
"2003/03/31";13,11;59,02;"Mercado laboral y población"
"2003/04/30";15,01;57,42;"Mercado laboral y población"
"2003/05/31";12,82;59,54;"Mercado laboral y población"
"2003/06/30";14,11;57,09;"Mercado laboral y población"
"2003/07/31";14,51;57,77;"Mercado laboral y población"
"2003/08/31";14,38;58,79;"Mercado laboral y población"
"2003/09/30";14,23;59,05;"Mercado laboral y población"
"2003/10/31";13,52;60,29;"Mercado laboral y población"
"2003/11/30";12,64;60,4;"Mercado laboral y población"
"2003/12/31";12,56;59,84;"Mercado laboral y población"
"2004/01/31";17,26;56,37;"Mercado laboral y población"
"2004/02/29";15,75;56,8;"Mercado laboral y población"
"2004/03/31";13,52;58,4;"Mercado laboral y población"
"2004/04/30";14,68;57,16;"Mercado laboral y población"
"2004/05/31";13,83;57,74;"Mercado laboral y población"
"2004/06/30";14,07;56,41;"Mercado laboral y población"
"2004/07/31";12,91;58,1;"Mercado laboral y población"
"2004/08/31";13,06;57,52;"Mercado laboral y población"
"2004/09/30";12,29;57,94;"Mercado laboral y población"
"2004/10/31";12,29;58,6;"Mercado laboral y población"
"2004/11/30";11,84;59,33;"Mercado laboral y población"
"2004/12/31";11,95;58,06;"Mercado laboral y población"
"2005/01/31";13,26;56,97;"Mercado laboral y población"
"2005/02/28";14,1;56,76;"Mercado laboral y población"
"2005/03/31";12,95;57,19;"Mercado laboral y población"
"2005/04/30";12,02;57,73;"Mercado laboral y población"
"2005/05/31";12,49;57,74;"Mercado laboral y población"
"2005/06/30";11,54;57,42;"Mercado laboral y población"
"2005/07/31";12,05;58,52;"Mercado laboral y población"
"2005/08/31";11,72;57,71;"Mercado laboral y población"
"2005/09/30";11,33;58,29;"Mercado laboral y población"
"2005/10/31";9,9;60,32;"Mercado laboral y población"
"2005/11/30";10,28;59,4;"Mercado laboral y población"
"2005/12/31";10,27;59,81;"Mercado laboral y población"
"2006/01/31";13,37;56,83;"Mercado laboral y población"
"2006/02/28";13,08;57,18;"Mercado laboral y población"
"2006/03/31";11,37;58,65;"Mercado laboral y población"
"2006/04/30";12,06;56,75;"Mercado laboral y población"
"2006/05/31";11,87;57,25;"Mercado laboral y población"
"2006/06/30";10,48;59,27;"Mercado laboral y población"
"2006/07/31";12,3;57,75;"Mercado laboral y población"
"2006/08/31";13,04;55,57;"Mercado laboral y población"
"2006/09/30";12,91;54,74;"Mercado laboral y población"
"2006/10/31";11,36;55,69;"Mercado laboral y población"
"2006/11/30";11;55,9;"Mercado laboral y población"
"2006/12/31";11,84;55,14;"Mercado laboral y población"
"2007/01/31";14,28;53,25;"Mercado laboral y población"
"2007/02/28";12,86;55,72;"Mercado laboral y población"
"2007/03/31";12,03;55,1;"Mercado laboral y población"
"2007/04/30";10,81;57,42;"Mercado laboral y población"
"2007/05/31";11,7;55,99;"Mercado laboral y población"
"2007/06/30";11,2;56,24;"Mercado laboral y población"
"2007/07/31";11,35;56,12;"Mercado laboral y población"
"2007/08/31";10,86;56,16;"Mercado laboral y población"
"2007/09/30";10,87;56,76;"Mercado laboral y población"
"2007/10/31";10,21;59,42;"Mercado laboral y población"
"2007/11/30";9,49;58,62;"Mercado laboral y población"
"2007/12/31";9,92;56,88;"Mercado laboral y población"
